200,77,63
195,78,64
195,78,64
190,78,66
190,78,64
185,78,63
185,76,62
180,76,61
180,74,59
175,72,56
175,72,56
170,73,58
170,73,58
165,74,59
165,73,60
160,73,60
160,72,58
155,72,58
155,71,54
150,69,54
150,67,52
145,65,46
145,58,42
140,56,40
140,55,38
135,55,38
135,55,35
130,52,31
130,49,30
125,48,26
125,43,22
120,40,22
120,39,20
115,39,20
115,41,22
110,41,20
110,40,20
105,37,19
105,32,14
100,28,13
100,25,11
105,24,10
105,29,13
110,30,14
110,36,16
115,40,19
115,44,19
120,44,20
120,44,19
125,44,21
125,48,21
130,51,25
130,55,26
135,56,28
135,58,28
140,56,26
140,59,30
145,61,33
145,66,37
150,66,38
150,66,38
155,66,37
155,67,40
160,69,44
160,72,48
165,73,50
165,74,51
170,73,51
170,72,51
175,74,54
175,77,58
180,78,62
180,79,66
185,79,68
185,80,69
190,81,70
190,80,70
195,80,71
195,76,70
